accuracy,exemplars,similarity,layer
99.15929262,2,less,first
99.15461213,2,mid,first
99.30386217,2,most,first
99.08023756,2,less,third
99.18900854,2,mid,third
99.29888896,2,most,third
99.17055601,2,less,fifth
99.13675292,2,mid,fifth
99.27020524,2,most,fifth
99.22978807,4,less,first
99.20096644,4,mid,first
99.45306806,4,most,first
99.23759276,4,less,third
99.28725885,4,mid,third
99.36408458,4,most,third
99.31109162,4,less,fifth
99.21851553,4,mid,fifth
99.40862709,4,most,fifth
99.04834981,8,less,first
99.11572802,8,mid,first
99.34122797,8,most,first
99.0363919,8,less,third
99.11577912,8,mid,third
99.33832908,8,most,third
99.02078019,8,less,fifth
99.17540258,8,mid,fifth
99.32371386,8,most,fifth
99.04303518,16,less,first
99.28651148,16,mid,first
99.37275336,16,most,first
99.16117489,16,less,third
99.26075599,16,mid,third
99.35515873,16,most,third
99.1541773,16,less,fifth
99.13191281,16,mid,fifth
99.48436051,16,most,fifth
